,name,birth_death,pha,pha_label,observation
,"Anderson, Allen",,561,A561,
,"Anderson, Bob",,561,A561,
,"Anderson, Chris",,561,A561,
,"Anderson, Dan",,561,A561,
,"Anderson, Gillian",,561,A5611,DECIMAL ADICIONADO
,"Anderson, Greg",,561,A561,
,"Anderson, Jack",,561,A561,
,"Anderson, James",,561,A561,
,"Anderson, Joan Wester",,561,A561,
,"Anderson, Jodi Lynn",,561,A561,
,"Anderson, Karen",,561,A561,
,"Anderson, Kevin J.",,561,A561,
,"Anderson, Kris",,561,A561,
,"Anderson, Laurie Halse",,561,A5613,DECIMAL ADICIONADO
,"Anderson, Mary",,561,A5614,DECIMAL ADICIONADO
,"Anderson, Patrick",,561,A5612,DECIMAL ADICIONADO
,"Anderson, Poul",,561,A561,
,"Andery, Alberto A.",,561,A561,
,"Andrada, Maria Lúcia Ribeiro de",,563,A563,
,"Andrade, Almir de",,565,A565,
,"Andrade, Antonio de",,565,A565,
,"Andrade, Benedicto de ",,565,A565,
,"Andrade, Caio",,566,A566,
,"Andrade, Carlos Drummond de",,566,A566,
,"Andrade, Carolina",,566,A566,
,"Andrade, Cristian",,566,A566,
,"Andrade, Dermeval Corrêa de",,566,A566,
,"Andrade, Edgar",,566,A566,
,"Andrade, Eduardo Leopoldino",,566,A566,
,"Andrade, Eugênio de",,566,A5661,DECIMAL ADICIONADO
,"Andrade, Farnese de",,567,A567,
,"Andrade, Floro Freitas de",,567,A567,
,"Andrade, Garibaldino de",,567,A567,
,"Andrade, Genese",,567,A567,
,"Andrade, Geziel",,567,A5671,DECIMAL ADICIONADO
,"Andrade, Gualberto Bruno de ",,567,A567,
,"Andrade, Hernani Guimarães",,567,A5672,DECIMAL ADICIONADO
,"Andrade, Jayme",,567,A567,
,"Andrade, João Batista de",,567,A567,
,"Andrade, Jorge",,567,A567,
,"Andrade, Júlio César Farias de",,567,A567,
,"Andrade, Manuel Correia de",,568,A568,
,"Andrade, Marcos",,568,A568,
,"Andrade, Maria Julieta Drummond de",,568,A5682,DECIMAL ADICIONADO
,"Andrade, Maria Lúcia C. V. O.",,568,A568,
,"Andrade, Maria Margarida de",,568,A568,
,"Andrade, Maria Regina Azevedo Villela de",,568,A568,
,"Andrade, Mario de",,568,A568,
,"Andrade, Marjorie C. de",,568,A568,
,"Andrade, Narcisa Veloso de",,568,A568,
,"Andrade, Oswald de",1890-1954,568,A5681,DECIMAL ADICIONADO
,"Andrade, Padre Fabrício",,568,A567,
,"Andrade, Reinaldo de",,57,A57,
,"Andrade, Renato",,57,A57,
,"Andrade, Rodrigo M.F. de",,57,A57,
,"Andrade, Roque Monteiro de",,57,A57,
,"Andrade, Tales de",,571,A571,
,"Andrade, Telma Guimarães Castro",,571,A571,
,"Andrades, Marcelo Ferreira de",,571,A571,
,"Andraw, Mariane",,572,A572,
,"Andre, Bella",,573,A573,
,"André, Hildebrando A. de",,573,A573,
,"André, Irmão",,573,A573,
,"André, M. J.",,573,A573,
,"André, Marli Eliza Dalmazo Afonso de",,573,A573,
,"Andréa, José",,573,A573,
,"Andreas-Salomé, Lou",,574,A574,
,"Andreolli, Geny",,575,A575,
,"Andrews, Lynn V.",,581,A581,
,"Andrews, Ted",,581,A581,
,"Andrews, V. C.",,581,A581,
,"Andrey, João Michel",,582,A582,
,"Andrey, Yuri",,582,A582,
,"Andriguetto, José Milton",,584,A584,
,"Andriolo, Arley",,585,A585,
,"Angel, Sylvie",,589,A589,
,"Angel, Zuzu",,589,A589,
,Angeli,,59,A59,
,"Angélico, João",,59,A59,
,"Angelini, Josephine",,591,A591,
,"Angelini, Sylvia",,591,A591,
,"Angelis, Vera de",,591,A591,
,"Angell, Norman",,592,A592,
,"Angelo, Ivan",,593,A593,
,"Angerami, Valdemar Augusto ",,594,A594,
,"Angleberger, Tom",,597,A597,
,Angthichay,,599,A599,
,"Angus, Sam",,61,A61,
,"Anhesini, Cinthia",,613,A613,
,"Anísio, Chico",,617,A617,
,"Anjos, Augusto dos",,619,A619,
,"Anjos, Clementina Malangolini dos",,619,A619,
,"Anjos, Cyro dos",,619,A619,
,"Anjos, Márcio Fabri dos",,619,A619,
,"Anjos, Ricardo Augusto dos",,619,A6191,DECIMAL ADICIONADO
,"Anjos, Rose dos",,619,A619,
,"Ankerberg, John",,619,A619,
,"Annand, Shardha",,62,A62,
,"Anouilh, Jean",,625,A625,
,"Anscombe, Roderick",,626,A6269,DECIMAL ADICIONADO
,"Ansel, Howard C.",,627,A627,
,"Anselmo de Cantuária, Santo",,627,A627,
,"Anson, Jay",,627,A627,
,"Anson, Peter F.",,627,A627,
,"Antar Neto, Aref",,631,A631,
,"Antas, Paulo de Tarso Zuquim",,631,A631,
,"Antelme, Robert",,632,A632,
,"Anthony, David",,633,A633,
,"Anthony, Robert",,633,A633,
,"Anthony, Ronald",,633,A633,
,"Antiero, Martha",,634,A634,
,Antifonte,,634,A634,
,"Antinori, Marcelo",,635,A635,
,"Antón, Diego Macià",,638,A638,
,"Antonaccio, Cynthia",,638,A638,
,"Antonelli Filho, Roberto",,639,A639,
,"Antônio Maria, Padre [Antonio Moreira Borges] ",1945-,64,A64,
,"Antonio, João",,64,A64,
,"Antonio, Luiz",,64,A64,
,"Antonio, Rosana",,64,A64,
,"Antônio, Severino",,64,A64,
,"Antunes, António Lobo",,642,A642,
,"Antunes, Arnaldo",,642,A642,
,"Antunes, Celso",,642,A642,
,"Antunes, Edvan",,642,A642,
,"Antunes, Leonardo",,643,A642,
,"Antunes, Murilo Tissoni",,643,A643,
,"Antunes, Pedro",,643,A643,
,"Antunes, Sérgio",,644,A644,
,"Antúnez, Elena Angulo",,644,A644,
,"Anzieu, Didier",,646,A646,
,"Apa, Wilson Rio",,648,A648,
,Apicius,,652,A652,
,"Apitz, Bruno",,652,A652,
,"Appel, René",,656,A656,
,"Apperley, Dawn",,656,A656,
,"Apple, Michael W.",,656,A656,
,"Appy, Robert",,66,A66,
,"Apsley, Brenda",,661,A661,
,"Apter, Terry",,664,A664,
,"Apuleio, Lúcio",,665,A665,
,"Aqueiva, Marco",,666,A666,
,"Aquino, Adriana Maria de",,669,A669,
,"Aquino, Carlos",,669,A6691,DECIMAL ADICIONADO
,"Aquino, Eduardo",,669,A669,
,"Aquino, Eulinir de Fátima Silva Tomaz de",,669,A669,
,"Aquino, Felipe ",,669,A669,
,"Aquino, Gilda",,669,A669,
,"Aquino, Julio Groppa",,669,A669,
,"Aquino, Marçal",,669,A669,
,"Aquino, Maria Aparecida de ",,669,A669,
,"Aquino, Paulo H.",,669,A669,
,"Aquino, Tomás de [Santo]",1225-1274,669,A669,
,"Arafat, Yassir",,67,A67,
,Aragão Adrino,,671,A671,
,"Aragão, José Carlos",,671,A671,
,"Aragão, Raymundo de",,671,A671,
,"Arakaki, Reginaldo",,676,A676,
,"Arambourg, Camille",,678,A678,
,Aran,,679,A679,
,"Aran, Edson",,679,A679,
,"Arana, Marie",,679,A679,
,"Aranha, Carmen",,68,A68,
,"Aranha, Graça",,68,A68,
,"Aranha, Maria Lúcia de Arruda",,681,A681,
,"Arantangy, Lídia Rosenberg",,682,A682,
,"Arantes, Antonio Augusto",,683,A683,
,"Arantes, Paulo",,684,A684,
,"Arantes, Priscila",,684,A684,
,"Araripe Júnior, Tristão de Alencar",,685,A685,
,"Aratangy, Claudia Rosenberg",,686,A686,
,"Aratangy, Lidia Rosenberg",,686,A686,
,"Araújo, Armando Bento de",,687,A687,
,"Araújo, Bárbara de ",,687,A687,
,"Araujo, Carlos",,688,A688,
,"Araujo, Celso Arnaldo",,688,A688,
,"Araújo, Ceres",,688,A688,
,"Araújo, Chloris Arruda de",,688,A688,
,"Araújo, Cláudia Campos de",,688,A688,
,"Araujo, Emanoel",,688,A688,
,"Araújo, Emanuel",,688,A688,
,"Araújo, Euclides Alves de",,688,A688,
,"Araújo, Francisco de",,689,A689,
,"Araújo, Francisco Fernandes de",,689,A689,
,"Araujo, Gustavo Henrique de Sousa",,689,A689,
,"Araújo, Humberto L. de",,689,A689,
,"Araújo, Inácio",,689,A689,
,"Araújo, Jorge",,689,A689,
,"Araújo, Leusa",,69,A69,
,"Araujo, Lucinha",,69,A69,
,"Araujo, Maria Lysia Corrêa de",,69,A69,
,"Araujo, Murillo",,69,A6901,DECIMAL ADICIONADO
,"Araújo, Naiara Mattar de",,69,A69,
,"Araújo, Nath",,69,A69,
,"Araújo, Neire de Souza",,69,A69,
,"Araújo, Oedro Bezerra de",,69,A69,
,"Araújo, Olívio Tavares de",,69,A69,
,"Araújo, Paulo César de",,69,A69,
,"Araújo, Paulo de",,69,A69,
,"Araujo, Rita Pinto",,691,A691,
,"Araújo, Ulisses F.",,692,A692,
,"Araújo, Vania Carvalho de",,692,A692,
,"Araújo, Washington",,692,A692,
,"Araujoh, Eliane de",,692,A692,
,"Arbache, Fernando Saba",,693,A693,
,"Arbex, Daniela",,694,A6941,DECIMAL ADICIONADO
,"Arbex, José",,694,A694,
,"Arboleda, Diego",,696,A694,
,"Arcangeli, Cristiana",,698,A698,
,"Archambault, Reginald D.",,711,A711,
,"Archange, G.",,711,A711,
,"Archanjo, Cláudia Márcia A.",,711,A711,
,"Archanjo, Neide",,711,A711,
,"Archanjo, Samuel",,711,A711,
,"Archer, Jeffrey",,712,A712,
,"Archibald, G. C.",,713,A713,
,"Arcuri, Nathalia",,718,A718,
,"Ardagh, Philip",,719,A719,
